2024/09/12 16:58:18.363 => OpenSerial: Com=4 BaudRate=256000, Success=1
2024/09/12 16:58:18.369 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:18.369 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:18.520 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:18.520 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:18.525 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/09/12 16:58:18.525 => GetVersion Return: v1.4.4_32772.0
2024/09/12 16:58:29.960 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:29.960 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:30.120 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:30.120 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:30.663 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/09/12 16:58:30.668 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/09/12 16:58:30.673 => thread create success, thread handle=0x00000668, id=3160, name=ABDData
2024/09/12 16:58:30.673 => thread information, name=ABDData, tid=3160(0x00000c58)
2024/09/12 16:58:30.695 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:30.794 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:30.895 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:30.995 => State=2, M_D=030, M_S=000, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:31.094 => State=2, M_D=225, M_S=072, ML_D=225, ML_S=100, R_D=046
2024/09/12 16:58:31.195 => State=2, M_D=030, M_S=100, ML_D=224, ML_S=100, R_D=042
2024/09/12 16:58:31.294 => State=2, M_D=225, M_S=100, ML_D=224, ML_S=100, R_D=063
2024/09/12 16:58:31.395 => State=2, M_D=225, M_S=000, ML_D=224, ML_S=100, R_D=081
2024/09/12 16:58:31.494 => State=2, M_D=030, M_S=100, ML_D=224, ML_S=100, R_D=072
2024/09/12 16:58:31.595 => State=2, M_D=225, M_S=061, ML_D=224, ML_S=100, R_D=089
2024/09/12 16:58:31.694 => State=3, M_D=226, M_S=081, ML_D=224, ML_S=100, R_D=104
2024/09/12 16:58:31.794 => State=2, M_D=030, M_S=100, ML_D=224, ML_S=100, R_D=092
2024/09/12 16:58:31.894 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=082
2024/09/12 16:58:31.995 => State=2, M_D=030, M_S=000, ML_D=223, ML_S=100, R_D=073
2024/09/12 16:58:32.095 => State=3, M_D=030, M_S=081, ML_D=222, ML_S=100, R_D=065
2024/09/12 16:58:32.195 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=058
2024/09/12 16:58:32.295 => State=3, M_D=030, M_S=052, ML_D=222, ML_S=100, R_D=052
2024/09/12 16:58:32.395 => State=2, M_D=225, M_S=074, ML_D=222, ML_S=100, R_D=072
2024/09/12 16:58:32.495 => State=3, M_D=223, M_S=100, ML_D=222, ML_S=100, R_D=088
2024/09/12 16:58:32.594 => State=2, M_D=030, M_S=100, ML_D=221, ML_S=100, R_D=078
2024/09/12 16:58:32.695 => State=3, M_D=030, M_S=100, ML_D=221, ML_S=100, R_D=070
2024/09/12 16:58:32.795 => State=3, M_D=030, M_S=100, ML_D=220, ML_S=100, R_D=063
2024/09/12 16:58:32.894 => State=3, M_D=030, M_S=100, ML_D=220, ML_S=100, R_D=056
2024/09/12 16:58:32.994 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=050
2024/09/12 16:58:33.096 => State=3, M_D=030, M_S=059, ML_D=219, ML_S=100, R_D=045
2024/09/12 16:58:33.195 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=041
2024/09/12 16:58:33.294 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=037
2024/09/12 16:58:33.395 => State=3, M_D=030, M_S=100, ML_D=218, ML_S=100, R_D=034
2024/09/12 16:58:33.495 => State=3, M_D=030, M_S=100, ML_D=218, ML_S=100, R_D=031
2024/09/12 16:58:33.595 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:33.695 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:33.795 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:33.894 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:33.995 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:34.095 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:34.194 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:34.295 => State=3, M_D=030, M_S=100, ML_D=218, ML_S=100, R_D=000
2024/09/12 16:58:34.394 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:34.494 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:34.595 => State=3, M_D=030, M_S=061, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:34.695 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:34.795 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:34.895 => State=3, M_D=030, M_S=100, ML_D=220, ML_S=100, R_D=000
2024/09/12 16:58:34.995 => State=3, M_D=030, M_S=100, ML_D=220, ML_S=100, R_D=000
2024/09/12 16:58:35.094 => State=3, M_D=030, M_S=100, ML_D=220, ML_S=100, R_D=000
2024/09/12 16:58:35.195 => State=3, M_D=030, M_S=081, ML_D=221, ML_S=100, R_D=000
2024/09/12 16:58:35.294 => State=3, M_D=030, M_S=100, ML_D=221, ML_S=100, R_D=000
2024/09/12 16:58:35.395 => State=3, M_D=030, M_S=070, ML_D=222, ML_S=100, R_D=000
